Feature,Importance
CouponRate,0.42409270644885827
YieldToMaturity,0.08806937916318931
EffectiveDuration,0.079679020173978
DV01_Per100Face,0.07956316311387138
MacaulayDuration,0.07882100370290654
ModifiedDuration,0.07050349078705644
YearsToMaturity,0.05455215790331662
Convexity,0.04176543438698658
EffectiveConvexity,0.0367648850655043
ZSpread_bps,0.015462305461570975
Currency_USD,0.014020220107482533
Currency_EUR,0.005773503972387694
Currency_GBP,0.004489986274176441
OAS_bps,0.0028147688429311663
SpreadOverBenchmark_bps,0.0010605754813080917
Currency_JPY,0.0007399885251273931
Currency_INR,0.0007266339612331298
Sector_NBFC,0.00020091708549591073
Sector_Steel,0.00018815583426860376
Sector_Infrastructure,0.00017675144006512302
CreditRating_AA,0.00017224259435608832
CreditRating_AAA,0.0001278300530155475
CreditRating_AA-,9.15653733050488e-05
Sector_Energy,4.6017181111680005e-05
CreditRating_AA+,2.7680872240343598e-05
CreditRating_SOV,2.6932325631500164e-05
CreditRating_A+,2.1459946944456786e-05
Sector_Government,2.1223921680829785e-05
